signal,budget,selective_risk,recall,precision,risk
oracle,0.05,0.29707286692962426,0.15074183976261127,1.0,0.29707286692962426
oracle,0.1,0.2581069237510955,0.30089020771513353,1.0,0.2581069237510955
oracle,0.15,0.21438515081206497,0.4516320474777448,1.0,0.21438515081206497
oracle,0.2,0.16539314764604388,0.6017804154302671,1.0,0.16539314764604388
oracle,0.3,0.04619718309859155,0.9026706231454006,1.0,0.04619718309859155
oracle,0.4,0.0,1.0,0.8308678500986193,0.0
oracle,0.5,0.0,1.0,0.6644321766561514,0.0
oracle,0.75,0.0,1.0,0.4430712595319485,0.0
oracle,1.0,0.0,1.0,0.3322816012620785,0.0
probe_fused,0.05,0.29852605356030726,0.14658753709198813,0.9724409448818898,0.29852605356030726
probe_fused,0.1,0.26665205959684485,0.2777448071216617,0.9230769230769231,0.26665205959684485
probe_fused,0.15,0.23642691415313224,0.39525222551928785,0.8751642575558476,0.23642691415313224
probe_fused,0.2,0.2119792950456002,0.4896142433234421,0.8136094674556213,0.2119792950456002
probe_fused,0.3,0.17492957746478874,0.6314540059347181,0.6995397764628534,0.17492957746478874
probe_fused,0.4,0.1472231350640815,0.7341246290801187,0.6099605522682445,0.1472231350640815
probe_fused,0.5,0.12702169625246548,0.8089020771513353,0.5374605678233438,0.12702169625246548
probe_fused,0.75,0.08911671924290221,0.9329376854599406,0.41335787536155666,0.08911671924290221
probe_fused,1.0,0.0,1.0,0.3322816012620785,0.0
probe_answer,0.05,0.29790325929001454,0.14836795252225518,0.984251968503937,0.29790325929001454
probe_answer,0.1,0.26993865030674846,0.26884272997032643,0.893491124260355,0.26993865030674846
probe_answer,0.15,0.245707656612529,0.37151335311572703,0.8226018396846255,0.245707656612529
probe_answer,0.2,0.222085284693123,0.4652818991097923,0.7731755424063116,0.222085284693123
probe_answer,0.3,0.18845070422535212,0.6029673590504451,0.6679815910585142,0.18845070422535212
probe_answer,0.4,0.1643115346697338,0.7032640949554896,0.584319526627219,0.1643115346697338
probe_answer,0.5,0.14240631163708087,0.7857566765578635,0.5220820189274448,0.14240631163708087
probe_answer,0.75,0.11593059936908517,0.912759643916914,0.4044175650801998,0.11593059936908517
probe_answer,1.0,0.0,1.0,0.3322816012620785,0.0
min_logprob,0.05,0.302055221091966,0.13649851632047477,0.905511811023622,0.302055221091966
min_logprob,0.1,0.2828659070990359,0.2338278931750742,0.777120315581854,0.2828659070990359
min_logprob,0.15,0.2640371229698376,0.32462908011869435,0.7187910643889619,0.2640371229698376
min_logprob,0.2,0.24919891545476952,0.4,0.6646942800788954,0.24919891545476952
min_logprob,0.3,0.2256338028169014,0.5246290801186944,0.5811965811965812,0.2256338028169014
min_logprob,0.4,0.20276043378245154,0.6338278931750742,0.5266272189349113,0.20276043378245154
min_logprob,0.5,0.18106508875739644,0.7275964391691395,0.4834384858044164,0.18106508875739644
min_logprob,0.75,0.10962145110410094,0.9175074183976261,0.40652116749934264,0.10962145110410094
min_logprob,1.0,0.0,1.0,0.3322816012620785,0.0
mean_logprob,0.05,0.3086983599750882,0.11750741839762611,0.7795275590551181,0.3086983599750882
mean_logprob,0.1,0.28615249780893953,0.22492581602373887,0.747534516765286,0.28615249780893953
mean_logprob,0.15,0.2665893271461717,0.31810089020771515,0.7043363994743759,0.2665893271461717
mean_logprob,0.2,0.2519102785309342,0.39347181008902077,0.6538461538461539,0.2519102785309342
mean_logprob,0.3,0.2284507042253521,0.5186943620178042,0.5746219592373438,0.2284507042253521
mean_logprob,0.4,0.2070325336838646,0.6261127596439169,0.5202169625246549,0.2070325336838646
mean_logprob,0.5,0.1794871794871795,0.7299703264094956,0.48501577287066244,0.1794871794871795
mean_logprob,0.75,0.10488958990536278,0.9210682492581602,0.4080988693136997,0.10488958990536278
mean_logprob,1.0,0.0,1.0,0.3322816012620785,0.0
random,0.05,0.3325721403363089,0.04925816023738872,0.32677165354330706,0.3325721403363089
random,0.1,0.32953549517966696,0.10741839762611276,0.35700197238658776,0.32953549517966696
random,0.15,0.33248259860788865,0.14955489614243322,0.3311432325886991,0.33248259860788865
random,0.2,0.3332511708158738,0.19762611275964392,0.32840236686390534,0.3332511708158738
random,0.3,0.33154929577464787,0.30148367952522254,0.3339907955292571,0.33154929577464787
random,0.4,0.3332237923102202,0.39821958456973294,0.33086785009861935,0.3332237923102202
random,0.5,0.326232741617357,0.5091988130563798,0.3383280757097792,0.326232741617357
random,0.75,0.32018927444794953,0.7590504451038576,0.3363134367604523,0.32018927444794953
random,1.0,0.0,1.0,0.3322816012620785,0.0
