variant,label,delta_vs_answer,ci_low,ci_high,p_holm
fused_decomposed,Decomposed (doc mean + residual),0.03636853139789998,0.018708954778429814,0.055156321101805676,0.0001183872588922582
fused_attr,Field-localized attribution,0.022704677576190057,0.005805470128799794,0.03896083461529497,0.022224537871712708
ctrl_docmean,Document mean of same vectors,0.02626992942338023,0.013906084917557017,0.04000826768135871,0.0005173863334162967
ctrl_tracemean,"Whole trace, pooled per doc",0.025694406344186082,0.013117320145862732,0.03891100127030743,0.000493389954775016
ctrl_centered,Field residual only,0.012368251547766967,-0.005851196975646317,0.030486790939250552,0.56073612115449
ctrl_shuffled,Shuffled across fields (control),-0.008313809565645104,-0.022197760885169105,0.004644866595307112,0.3614219622692271
ctrl_random,Random vectors (control),-0.0065290208920899045,-0.02578322441515356,0.013385317120403376,1.0
